# energy mu normalized_energy pre_edge post_edge
8.377449000000000524e+03 4.588793999999999929e-01 8.377449000000000524e+03 4.607651290375724962e-01 3.618574851036793660e+00
8.425935999999999694e+03 4.512149999999999772e-01 8.425935999999999694e+03 4.534590964234270771e-01 3.575965238336668683e+00
8.475237999999999374e+03 4.437137999999999916e-01 8.475237999999999374e+03 4.460302594167533385e-01 3.532639416459844028e+00
8.525308000000000902e+03 4.360756000000000077e-01 8.525308000000000902e+03 4.384856999886534989e-01 3.488638688266816779e+00
8.576049000000000888e+03 4.284511999999999765e-01 8.576049000000000888e+03 4.308400341220428587e-01 3.444048295831378503e+00
8.576304000000000087e+03 4.284364999999999979e-01 8.576304000000000087e+03 4.308016106618040020e-01 3.443824205843577957e+00
8.576559999999999491e+03 4.283842999999999956e-01 8.576559999999999491e+03 4.307630365213288570e-01 3.443599237071510721e+00
8.576814000000000306e+03 4.282948999999999784e-01 8.576814000000000306e+03 4.307247637413260666e-01 3.443376025867975088e+00
8.577068999999999505e+03 4.282861000000000029e-01 8.577068999999999505e+03 4.306863402810872099e-01 3.443151935880173653e+00
8.577325000000000728e+03 4.283101999999999743e-01 8.577325000000000728e+03 4.306477661406118429e-01 3.442926967108105529e+00
8.577578999999999724e+03 4.283116000000000145e-01 8.577578999999999724e+03 4.306094933606090525e-01 3.442703755904570784e+00
8.577835999999999331e+03 4.282801999999999998e-01 8.577835999999999331e+03 4.305707685398978413e-01 3.442477908348237747e+00
8.578090000000000146e+03 4.282367999999999730e-01 8.578090000000000146e+03 4.305324957598948288e-01 3.442254697144701225e+00
8.578346999999999753e+03 4.282321000000000044e-01 8.578346999999999753e+03 4.304937709391836176e-01 3.442028849588368189e+00
8.578601000000000568e+03 4.281984999999999819e-01 8.578601000000000568e+03 4.304554981591806051e-01 3.441805638384832555e+00
8.578855999999999767e+03 4.281855999999999995e-01 8.578855999999999767e+03 4.304170746989417484e-01 3.441581548397031121e+00
8.579111999999999171e+03 4.280165000000000219e-01 8.579111999999999171e+03 4.303785005584666035e-01 3.441356579624964773e+00
8.579367000000000189e+03 4.281110000000000193e-01 8.579367000000000189e+03 4.303400770982275247e-01 3.441132489637162450e+00
8.579623999999999796e+03 4.280417999999999723e-01 8.579623999999999796e+03 4.303013522775160915e-01 3.440906642080829414e+00
8.579878000000000611e+03 4.281375000000000042e-01 8.579878000000000611e+03 4.302630794975133011e-01 3.440683430877292892e+00
8.580134000000000015e+03 4.280751999999999891e-01 8.580134000000000015e+03 4.302245053570381561e-01 3.440458462105225657e+00
8.580389999999999418e+03 4.280996000000000246e-01 8.580389999999999418e+03 4.301859312165630111e-01 3.440233493333159309e+00
8.580645000000000437e+03 4.280888999999999944e-01 8.580645000000000437e+03 4.301475077563239324e-01 3.440009403345356986e+00
8.580899999999999636e+03 4.281009000000000064e-01 8.580899999999999636e+03 4.301090842960850757e-01 3.439785313357555552e+00
8.581156000000000859e+03 4.280056999999999889e-01 8.581156000000000859e+03 4.300705101556097087e-01 3.439560344585487428e+00
8.581411000000000058e+03 4.278349000000000180e-01 8.581411000000000058e+03 4.300320866953708521e-01 3.439336254597686882e+00
8.581666999999999462e+03 4.277560000000000251e-01 8.581666999999999462e+03 4.299935125548957071e-01 3.439111285825619646e+00
8.581922000000000480e+03 4.277539000000000202e-01 8.581922000000000480e+03 4.299550890946566284e-01 3.438887195837817323e+00
8.582177999999999884e+03 4.276693999999999773e-01 8.582177999999999884e+03 4.299165149541814834e-01 3.438662227065750088e+00
8.582433000000000902e+03 4.274609999999999799e-01 8.582433000000000902e+03 4.298780914939424047e-01 3.438438137077947765e+00
8.582688000000000102e+03 4.274981999999999949e-01 8.582688000000000102e+03 4.298396680337035480e-01 3.438214047090147218e+00
8.582942999999999302e+03 4.273822999999999928e-01 8.582942999999999302e+03 4.298012445734646914e-01 3.437989957102346672e+00
8.583200000000000728e+03 4.274151999999999951e-01 8.583200000000000728e+03 4.297625197527530361e-01 3.437764109546011859e+00
8.583454999999999927e+03 4.273388000000000186e-01 8.583454999999999927e+03 4.297240962925141794e-01 3.437540019558211313e+00
8.583710999999999331e+03 4.273756000000000221e-01 8.583710999999999331e+03 4.296855221520390344e-01 3.437315050786144077e+00
8.583966000000000349e+03 4.272782999999999998e-01 8.583966000000000349e+03 4.296470986917999557e-01 3.437090960798341754e+00
8.584221999999999753e+03 4.272597000000000200e-01 8.584221999999999753e+03 4.296085245513248108e-01 3.436865992026274519e+00
8.584477999999999156e+03 4.271483999999999837e-01 8.584477999999999156e+03 4.295699504108496658e-01 3.436641023254208172e+00
8.584733000000000175e+03 4.272674000000000194e-01 8.584733000000000175e+03 4.295315269506105871e-01 3.436416933266405849e+00
8.584988999999999578e+03 4.270130999999999788e-01 8.584988999999999578e+03 4.294929528101354421e-01 3.436191964494338613e+00
8.585245000000000800e+03 4.273580000000000156e-01 8.585245000000000800e+03 4.294543786696600751e-01 3.435966995722270489e+00
8.585501000000000204e+03 4.273539000000000088e-01 8.585501000000000204e+03 4.294158045291849302e-01 3.435742026950203254e+00
8.585756999999999607e+03 4.273249000000000075e-01 8.585756999999999607e+03 4.293772303887097852e-01 3.435517058178136018e+00
8.586012000000000626e+03 4.270785000000000275e-01 8.586012000000000626e+03 4.293388069284707065e-01 3.435292968190333696e+00
8.586269000000000233e+03 4.268912999999999736e-01 8.586269000000000233e+03 4.293000821077592732e-01 3.435067120634000659e+00
8.586522999999999229e+03 4.269324999999999926e-01 8.586522999999999229e+03 4.292618093277567048e-01 3.434843909430465914e+00
8.586779000000000451e+03 4.271896000000000027e-01 8.586779000000000451e+03 4.292232351872813378e-01 3.434618940658397790e+00
8.587034999999999854e+03 4.272136000000000267e-01 8.587034999999999854e+03 4.291846610468061929e-01 3.434393971886330554e+00
8.587290999999999258e+03 4.273095000000000088e-01 8.587290999999999258e+03 4.291460869063310479e-01 3.434169003114264207e+00
8.587547000000000480e+03 4.273235000000000228e-01 8.587547000000000480e+03 4.291075127658556809e-01 3.433944034342195195e+00
8.587801999999999680e+03 4.272079999999999766e-01 8.587801999999999680e+03 4.290690893056168242e-01 3.433719944354394649e+00
8.588058999999999287e+03 4.271069000000000115e-01 8.588058999999999287e+03 4.290303644849056131e-01 3.433494096798061612e+00
8.588313000000000102e+03 4.271477000000000190e-01 8.588313000000000102e+03 4.289920917049026006e-01 3.433270885594525090e+00
